Team,Person_id,Player,Season_Type,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,CareerHighPTS,eFG%,TS%
76ers GC,1600003,Steez,Regular,16,384,80,115,0.696,4,9,0.444,17,27,0.63,76,80,156,33,30,29,33,10,181,34,0.713,0.713
76ers GC,1600022,Newdini33,Regular,16,384,46,74,0.622,18,36,0.5,2,2,1,11,8,19,14,32,33,9,4,112,31,0.743,0.748
76ers GC,1600025,ZDS,Regular,16,384,107,199,0.538,60,127,0.472,6,9,0.667,3,7,10,32,17,22,19,1,280,52,0.688,0.69
76ers GC,1600097,Radiant,Regular,16,384,123,230,0.535,56,111,0.505,18,20,0.9,1,8,9,177,17,21,68,1,320,34,0.657,0.67
76ers GC,1600207,oCASSIUS,Regular,1,24,13,24,0.542,10,20,0.5,0,0,0,3,7,10,4,0,2,3,0,36,36,0.75,0.75
76ers GC,1600222,BreadwinnerLA,Regular,15,360,52,84,0.619,17,38,0.447,8,9,0.889,31,56,87,29,31,45,17,17,129,21,0.72,0.733
Blazer5 Gaming,1600011,OneWildWalnut,Regular,16,390,124,172,0.721,0,1,0,7,12,0.583,94,108,202,27,26,35,43,7,255,31,0.721,0.719
Blazer5 Gaming,1600021,Mama Im Dat Man,Regular,16,390,132,235,0.562,63,121,0.521,42,50,0.84,4,14,18,185,18,23,77,4,369,32,0.696,0.718
Blazer5 Gaming,1600049,LavishPhenom,Regular,16,390,53,92,0.576,15,28,0.536,10,10,1,3,6,9,11,46,41,8,4,131,21,0.658,0.679
Blazer5 Gaming,1600095,Jomar12 PR,Regular,7,168,32,56,0.571,15,32,0.469,2,3,0.667,3,15,18,13,18,14,4,5,81,20,0.705,0.707
Blazer5 Gaming,1600100,King Peroxide,Regular,11,270,55,113,0.487,28,67,0.418,5,7,0.714,3,8,11,16,31,14,18,0,143,39,0.611,0.616
Blazer5 Gaming,1600247,Daveed 3x,Regular,14,342,33,61,0.541,14,28,0.5,3,5,0.6,10,41,51,13,23,38,14,13,83,14,0.656,0.657
Bucks Gaming,1600043,Arooks,Regular,16,390,119,221,0.538,74,142,0.521,7,7,1,3,4,7,62,35,30,31,1,319,41,0.706,0.712
Bucks Gaming,1600094,BigMeek,Regular,9,222,66,112,0.589,31,55,0.564,6,6,1,4,22,26,14,4,11,15,3,169,27,0.728,0.737
Bucks Gaming,1600212,chaddynick,Regular,16,390,40,73,0.548,26,52,0.5,4,6,0.667,4,13,17,25,42,23,30,1,110,21,0.726,0.727
Bucks Gaming,1600216,RSG,Regular,7,168,12,14,0.857,1,1,1,3,4,0.75,34,32,66,19,11,6,10,2,28,9,0.893,0.888
Bucks Gaming,1600223,SlayIsland,Regular,16,390,39,72,0.542,11,22,0.5,14,14,1,6,20,26,44,28,21,42,0,103,13,0.618,0.659
Bucks Gaming,1600224,Plondo,Regular,16,390,130,221,0.588,9,28,0.321,24,35,0.686,53,92,145,70,46,36,42,24,293,36,0.609,0.62
Cavs Legion GC,1600002,oLarry,Regular,16,387,68,109,0.624,6,17,0.353,23,31,0.742,38,65,103,56,29,35,36,13,165,24,0.651,0.673
Cavs Legion GC,1600045,LYKaPRO,Regular,6,144,18,44,0.409,8,20,0.4,5,6,0.833,3,1,4,36,5,8,16,0,49,23,0.5,0.525
Cavs Legion GC,1600050,Savage,Regular,10,243,38,64,0.594,10,29,0.345,3,5,0.6,1,8,9,42,7,14,29,0,89,22,0.672,0.672
Cavs Legion GC,1600070,Godddof2k,Regular,16,387,48,79,0.608,11,26,0.423,9,9,1,12,14,26,27,53,57,12,4,116,30,0.677,0.699
Cavs Legion GC,1600230,Strainer,Regular,16,387,103,174,0.592,39,75,0.52,10,13,0.769,1,19,20,66,16,14,44,7,255,42,0.704,0.709
Celtics Crossover Gaming,1600031,oFAB,Regular,15,363,129,224,0.576,42,83,0.506,34,44,0.773,5,13,18,188,24,38,78,0,334,36,0.67,0.686
Celtics Crossover Gaming,1600046,Mel East,Regular,16,387,62,98,0.633,25,48,0.521,14,15,0.933,10,9,19,14,45,41,10,6,163,31,0.76,0.779
Celtics Crossover Gaming,1600091,ProFusion,Regular,16,387,102,172,0.593,53,99,0.535,9,12,0.75,4,16,20,16,38,34,17,3,266,35,0.747,0.75
Celtics Crossover Gaming,1600219,NO xAUTOGRAPHSx,Regular,16,387,68,99,0.687,7,19,0.368,8,11,0.727,83,104,187,45,18,30,30,19,151,15,0.722,0.727
Celtics Crossover Gaming,1600232,Bulleyy,Regular,15,363,53,115,0.461,34,71,0.479,4,6,0.667,4,25,29,13,29,24,26,9,144,15,0.609,0.612
Celtics Crossover Gaming,1600237,Suavy,Regular,2,48,5,9,0.556,3,7,0.429,0,0,0,1,4,5,1,5,5,3,2,13,8,0.722,0.722
Grizz Gaming,1600029,UniversaIPhenom,Regular,7,168,18,38,0.474,4,14,0.286,3,4,0.75,6,25,31,4,9,10,8,4,43,24,0.526,0.541
Grizz Gaming,1600053,AuthenticAfrican,Regular,16,384,107,149,0.718,1,2,0.5,21,31,0.677,77,111,188,55,27,39,31,15,236,84,0.721,0.726
Grizz Gaming,1600061,DDouble,Regular,13,312,59,86,0.686,10,23,0.435,10,10,1,13,5,18,8,24,36,1,1,138,20,0.744,0.763
Grizz Gaming,1600236,Jayrod,Regular,16,384,57,129,0.442,36,84,0.429,5,5,1,8,32,40,29,17,20,20,5,155,15,0.581,0.591
Grizz Gaming,1600249,Vandi,Regular,16,384,108,203,0.532,47,100,0.47,22,27,0.815,7,11,18,134,22,15,74,3,285,28,0.648,0.663
Hawks Talon GC,1600028,Dat Boy Shotz,Regular,12,288,80,154,0.519,15,25,0.6,24,29,0.828,13,23,36,26,25,26,33,4,199,33,0.568,0.597
Hawks Talon GC,1600071,XxSTL2LAxX,Regular,9,216,37,66,0.561,6,12,0.5,2,4,0.5,14,24,38,37,15,10,20,7,82,30,0.606,0.605
Hawks Talon GC,1600085,Arsonal,Regular,15,360,80,122,0.656,2,4,0.5,12,17,0.706,98,91,189,45,32,33,26,11,174,38,0.664,0.672
Hawks Talon GC,1600220,Jay a FooL,Regular,14,336,49,87,0.563,29,55,0.527,2,2,1,4,9,13,10,22,21,15,4,129,24,0.73,0.734
Hawks Talon GC,1600231,Rando,Regular,15,360,82,173,0.474,39,98,0.398,18,25,0.72,0,11,11,61,15,15,56,2,221,27,0.587,0.601
Heat Check Gaming,1600015,Hotshot,Regular,15,360,97,175,0.554,12,32,0.375,19,27,0.704,65,107,172,84,39,36,66,13,225,54,0.589,0.602
Heat Check Gaming,1600047,MaJes7ic,Regular,16,384,69,128,0.539,19,48,0.396,8,11,0.727,17,39,56,36,33,28,32,9,165,25,0.613,0.621
Heat Check Gaming,1600089,l 24k Dropoff l,Regular,15,360,70,127,0.551,25,50,0.5,10,11,0.909,18,27,45,45,37,27,33,1,175,22,0.65,0.664
Heat Check Gaming,1600244,ChaChingSingh,Regular,3,72,17,28,0.607,8,18,0.444,0,0,0,3,1,4,4,8,11,2,2,42,20,0.75,0.75
Jazz Gaming,1600037,Yeah I Compete,Regular,16,387,80,145,0.552,28,52,0.538,8,9,0.889,1,17,18,128,27,4,65,3,196,41,0.648,0.658
Jazz Gaming,1600058,Deedz,Regular,16,387,44,69,0.638,13,29,0.448,2,2,1,12,17,29,31,58,36,17,3,103,25,0.732,0.737
Jazz Gaming,1600211,KevDontMiss,Regular,6,144,28,52,0.538,13,31,0.419,2,2,1,3,3,6,17,3,6,17,1,71,18,0.663,0.671
Jazz Gaming,1600235,Gliz,Regular,13,315,70,122,0.574,25,59,0.424,4,5,0.8,19,40,59,30,22,23,19,5,169,26,0.676,0.68
Jazz Gaming,1600252,Ria,Regular,16,387,108,171,0.632,10,30,0.333,25,31,0.806,63,101,164,56,46,35,35,28,251,41,0.661,0.68
Kings Guard Gaming,1600052,Yusuf_Scarbz,Regular,14,336,45,73,0.616,34,51,0.667,0,0,0,4,42,46,14,30,28,14,24,124,31,0.849,0.849
Kings Guard Gaming,1600056,worthingcolt,Regular,16,384,88,130,0.677,0,2,0,10,14,0.714,78,111,189,51,33,22,45,5,186,39,0.677,0.683
Kings Guard Gaming,1600093,BalILikeSeem,Regular,16,384,81,159,0.509,42,89,0.472,24,31,0.774,2,10,12,37,22,17,33,1,228,25,0.642,0.66
Kings Guard Gaming,1600209,Bp,Regular,16,384,110,214,0.514,63,130,0.485,25,28,0.893,2,15,17,127,23,23,71,2,308,46,0.661,0.68
Kings Guard Gaming,1600238,Roman,Regular,2,48,5,13,0.385,5,11,0.455,0,0,0,2,6,8,0,0,0,0,2,15,9,0.577,0.577
Kings Guard Gaming,1600242,Zakyy610,Regular,16,384,43,68,0.632,20,37,0.541,1,2,0.5,3,8,11,13,48,29,5,4,107,16,0.779,0.777
Knicks Gaming,1600007,G O O F Y 7 5 7,Regular,14,336,94,130,0.723,0,1,0,13,26,0.5,87,121,208,70,22,24,58,17,201,40,0.723,0.711
Knicks Gaming,1600027,Idrisdagoat6,Regular,12,288,64,100,0.64,11,29,0.379,12,16,0.75,23,30,53,16,17,23,20,4,151,27,0.695,0.705
Knicks Gaming,1600041,iamadamthe1st,Regular,16,384,70,156,0.449,37,86,0.43,14,17,0.824,4,6,10,110,24,18,80,0,191,31,0.567,0.584
Knicks Gaming,1600075,HazzaUK,Regular,14,336,51,94,0.543,25,53,0.472,7,10,0.7,4,20,24,22,36,32,11,4,134,20,0.676,0.681
Knicks Gaming,1600096,YEYNotGaming,Regular,8,192,15,29,0.517,7,18,0.389,3,4,0.75,3,2,5,9,21,8,5,3,40,13,0.638,0.65
Knicks Gaming,1600218,OriginalMalik,Regular,16,384,95,201,0.473,48,114,0.421,9,14,0.643,0,16,16,37,29,30,61,4,247,24,0.592,0.596
Lakers Gaming,1600006,Kontrul,Regular,15,363,43,105,0.41,11,44,0.25,18,22,0.818,4,16,20,42,30,17,43,2,115,25,0.462,0.501
Lakers Gaming,1600012,Detoxys,Regular,13,318,47,90,0.522,19,42,0.452,10,11,0.909,16,23,39,10,36,16,10,10,123,22,0.628,0.648
Lakers Gaming,1600014,Mootyy,Regular,16,390,66,104,0.635,3,11,0.273,10,13,0.769,70,106,176,51,47,29,49,24,145,28,0.649,0.661
Lakers Gaming,1600064,Safiya4ya,Regular,4,99,19,29,0.655,4,8,0.5,1,1,1,1,1,2,5,7,12,6,2,43,17,0.724,0.73
Lakers Gaming,1600067,Vert,Regular,16,390,67,137,0.489,18,55,0.327,16,22,0.727,9,14,23,86,29,25,59,6,168,31,0.555,0.573
Lakers Gaming,1600202,Kev,Regular,16,390,92,204,0.451,54,129,0.419,13,15,0.867,4,15,19,22,20,33,27,5,251,41,0.583,0.596
Magic Gaming,1600013,KingCamRoyalty,Regular,14,336,93,119,0.782,2,3,0.667,6,10,0.6,56,86,142,33,25,21,22,14,194,23,0.79,0.786
Magic Gaming,1600018,TuckerLocksUp,Regular,3,72,10,20,0.5,3,9,0.333,1,2,0.5,6,5,11,0,6,4,7,3,24,33,0.575,0.575
Magic Gaming,1600044,UCMANNY,Regular,16,384,41,78,0.526,18,41,0.439,7,7,1,8,6,14,18,33,24,12,0,107,28,0.641,0.66
Magic Gaming,1600217,Reizey,Regular,16,384,105,194,0.541,50,114,0.439,17,23,0.739,1,24,25,156,9,9,73,1,277,30,0.67,0.679
Magic Gaming,1600246,DT,Regular,16,384,93,159,0.585,33,68,0.485,10,11,0.909,14,41,55,19,33,43,21,13,229,29,0.689,0.699
Mavs Gaming,1600004,Dimez,Regular,16,384,110,186,0.591,27,53,0.509,20,25,0.8,1,11,12,139,24,22,74,2,267,42,0.664,0.678
Mavs Gaming,1600055,GRANT MONSTER,Regular,2,48,5,5,1,3,3,1,0,0,0,3,10,13,0,1,2,4,2,13,17,1.3,1.3
Mavs Gaming,1600090,Rux,Regular,14,336,57,97,0.588,29,53,0.547,0,1,0,14,41,55,13,23,20,19,13,143,20,0.737,0.734
Mavs Gaming,1600226,PeteBeBallin,Regular,16,384,107,145,0.738,0,4,0,15,21,0.714,74,105,179,37,38,38,38,18,229,27,0.738,0.742
Mavs Gaming,1600239,Mo,Regular,16,384,90,185,0.486,54,109,0.495,2,2,1,0,20,20,58,35,20,36,3,236,37,0.632,0.635
Mavs Gaming,1600243,Sherm,Regular,16,384,48,70,0.686,14,24,0.583,6,8,0.75,7,10,17,15,34,31,10,6,116,15,0.786,0.789
NetsGC,1600077,NateKahl,Regular,16,387,82,120,0.683,14,31,0.452,12,13,0.923,17,14,31,17,51,41,15,4,190,19,0.742,0.756
NetsGC,1600203,Shockey,Regular,15,363,64,98,0.653,11,24,0.458,10,12,0.833,28,79,107,34,29,22,24,8,149,18,0.709,0.721
NetsGC,1600215,Wavy.zay,Regular,16,387,95,182,0.522,29,74,0.392,22,27,0.815,1,10,11,93,23,17,68,5,241,30,0.602,0.622
NetsGC,1600225,Lav,Regular,15,363,89,177,0.503,39,90,0.433,20,29,0.69,2,16,18,63,19,15,47,3,237,30,0.613,0.624
NetsGC,1600233,iiTzChas,Regular,2,48,7,14,0.5,4,10,0.4,0,0,0,1,1,2,1,3,1,2,0,18,12,0.643,0.643
NetsGC,1600240,Shuttles,Regular,16,387,52,82,0.634,13,27,0.481,9,15,0.6,43,72,115,46,38,39,35,16,126,15,0.713,0.711
Pacers Gaming,1600016,Swizurk,Regular,16,384,101,161,0.627,52,94,0.553,12,17,0.706,5,20,25,46,12,15,37,1,266,32,0.789,0.789
Pacers Gaming,1600038,WoLF 74,Regular,16,384,64,100,0.64,17,33,0.515,13,13,1,9,11,20,21,40,30,9,3,158,26,0.725,0.747
Pacers Gaming,1600042,Ramo,Regular,16,384,106,193,0.549,11,26,0.423,13,17,0.765,36,65,101,87,46,33,35,9,236,27,0.578,0.589
Pacers Gaming,1600200,Lord Beezus,Regular,16,384,58,101,0.574,12,31,0.387,4,5,0.8,46,51,97,32,39,24,15,13,132,17,0.634,0.64
Pacers Gaming,1600208,Man_in_a_car,Regular,6,144,29,62,0.468,21,44,0.477,1,2,0.5,1,7,8,12,6,9,10,2,80,20,0.637,0.636
Pacers Gaming,1600214,Matty,Regular,10,240,50,83,0.602,14,28,0.5,10,16,0.625,2,10,12,57,4,8,23,0,124,31,0.687,0.689
Pistons GT,1600010,iiNsaniTTy,Regular,14,336,71,126,0.563,15,39,0.385,11,14,0.786,2,3,5,30,32,23,25,2,168,29,0.623,0.636
Pistons GT,1600078,Joseph,Regular,16,384,75,116,0.647,27,42,0.643,17,18,0.944,24,46,70,33,31,26,21,12,194,28,0.763,0.783
Pistons GT,1600098,splashking,Regular,9,216,45,85,0.529,7,25,0.28,9,17,0.529,11,23,34,51,9,20,42,2,106,30,0.571,0.573
Pistons GT,1600229,May,Regular,13,312,71,101,0.703,1,3,0.333,6,11,0.545,73,73,146,49,40,18,36,8,149,23,0.708,0.704
Pistons GT,1600245,Jaacko,Regular,12,288,43,92,0.467,23,57,0.404,10,11,0.909,2,8,10,23,5,8,11,1,119,21,0.592,0.614
Raptors Uprising GC,1600017,Kenny Got Work,Regular,16,384,97,188,0.516,45,93,0.484,14,16,0.875,9,9,18,87,17,27,54,6,253,34,0.636,0.649
Raptors Uprising GC,1600020,Doza,Regular,11,264,46,99,0.465,21,44,0.477,8,9,0.889,2,17,19,67,12,11,40,2,121,28,0.571,0.588
Raptors Uprising GC,1600072,KingQuai614,Regular,15,360,53,95,0.558,9,20,0.45,7,9,0.778,47,63,110,41,37,47,36,11,122,29,0.605,0.616
Raptors Uprising GC,1600079,TsJosh,Regular,15,360,46,75,0.613,13,29,0.448,3,4,0.75,6,7,13,13,38,27,6,3,108,26,0.7,0.703
Raptors Uprising GC,1600204,OOC Slim,Regular,7,168,31,59,0.525,11,24,0.458,5,5,1,5,11,16,10,11,12,7,1,78,22,0.619,0.637
T-Wolves Gaming,1600032,NachoTraynor,Regular,2,48,5,10,0.5,1,3,0.333,2,3,0.667,1,5,6,2,3,1,1,0,13,17,0.55,0.574
T-Wolves Gaming,1600039,FEAST,Regular,16,384,72,106,0.679,13,20,0.65,10,13,0.769,51,88,139,52,39,41,28,18,167,33,0.741,0.747
T-Wolves Gaming,1600054,TURNUPDEFENSE,Regular,16,384,62,101,0.614,18,39,0.462,10,13,0.769,9,11,20,25,37,37,11,3,152,22,0.703,0.712
T-Wolves Gaming,1600221,BearDaBeast,Regular,16,384,95,167,0.569,37,71,0.521,23,29,0.793,3,22,25,145,28,17,57,5,250,30,0.68,0.695
T-Wolves Gaming,1600234,JoJo,Regular,16,384,76,112,0.679,21,37,0.568,4,4,1,26,59,85,24,23,27,29,9,177,18,0.772,0.778
Total,1600005,Hood,Regular,15,360,88,181,0.486,29,68,0.426,13,15,0.867,8,17,25,64,20,24,62,6,218,37,0.566,0.581
Total,1600040,Sick x 973,Regular,17,408,114,183,0.623,30,50,0.6,13,15,0.867,34,86,120,42,59,37,38,13,271,35,0.705,0.715
Total,1600073,All Hail Trey,Regular,15,363,103,193,0.534,29,69,0.42,17,18,0.944,13,36,49,28,39,20,28,5,252,26,0.609,0.627
Total,1600087,ToXsiK,Regular,14,336,40,73,0.548,10,33,0.303,11,11,1,11,10,21,12,50,26,13,2,101,13,0.616,0.649
Total,1600213,DevGoss,Regular,16,384,97,186,0.522,37,93,0.398,9,10,0.9,2,7,9,64,16,29,48,4,240,32,0.621,0.63
Total,1600227,Lotty,Regular,17,411,90,130,0.692,27,44,0.614,7,9,0.778,6,11,17,26,50,37,12,5,214,31,0.796,0.799
Total,1600228,JMoneyRep817,Regular,15,360,111,200,0.555,36,77,0.468,15,18,0.833,4,9,13,63,28,24,44,1,273,32,0.645,0.657
Total,1600248,MrStylez,Regular,15,360,59,139,0.424,24,62,0.387,4,7,0.571,3,9,12,78,39,19,52,5,146,18,0.511,0.514
Total,1600250,MOAM,Regular,11,264,68,118,0.576,31,64,0.484,7,9,0.778,3,17,20,23,18,24,27,2,174,30,0.708,0.713
Total,1600251,KelMav,Regular,13,312,60,131,0.458,25,63,0.397,8,8,1,5,11,16,28,16,8,12,3,153,28,0.553,0.569
Warriors Gaming Squad,1600026,Bsmoove,Regular,16,384,113,206,0.549,54,96,0.563,9,13,0.692,3,7,10,52,20,26,53,0,289,33,0.68,0.683
Warriors Gaming Squad,1600033,Type,Regular,13,312,73,118,0.619,4,8,0.5,10,17,0.588,57,87,144,24,47,34,25,21,160,22,0.636,0.638
Warriors Gaming Squad,1600059,Jin,Regular,15,360,66,107,0.617,18,33,0.545,10,11,0.909,43,40,83,27,14,19,15,6,160,23,0.701,0.715
Warriors Gaming Squad,1600205,CB13,Regular,16,384,64,135,0.474,35,78,0.449,14,15,0.933,1,19,20,111,21,17,62,0,177,25,0.604,0.625
Warriors Gaming Squad,1600210,Chiquita,Regular,4,96,7,19,0.368,6,14,0.429,0,0,0,5,11,16,1,3,4,3,2,20,9,0.526,0.526
Warriors Gaming Squad,1600241,Gradient,Regular,16,384,59,106,0.557,11,28,0.393,6,8,0.75,14,15,29,16,53,44,20,3,135,21,0.608,0.616
Wizards District Gaming,1600009,ReeseDaGod,Regular,16,384,134,232,0.578,52,114,0.456,11,16,0.688,4,10,14,61,17,25,63,4,331,49,0.69,0.692
Wizards District Gaming,1600060,Dayfri,Regular,13,312,80,136,0.588,14,32,0.438,20,26,0.769,21,46,67,48,57,26,38,13,194,31,0.64,0.658
Wizards District Gaming,1600066,Demon JT,Regular,16,384,45,117,0.385,25,67,0.373,18,20,0.9,4,27,31,80,16,15,49,2,133,26,0.491,0.529
Wizards District Gaming,1600069,Gilly,Regular,15,360,87,121,0.719,4,10,0.4,22,25,0.88,76,86,162,37,12,16,21,16,200,22,0.736,0.758
Wizards District Gaming,1600201,USERPICK,Regular,16,384,52,78,0.667,21,32,0.656,0,0,0,6,11,17,16,59,40,6,1,125,25,0.801,0.801
Wizards District Gaming,1600206,PaulB,Regular,4,96,12,22,0.545,3,11,0.273,2,2,1,7,17,24,10,7,9,7,3,29,11,0.614,0.634
